variable,description
b08303_003,estimate_total_5 to 9 minutes
b08303_004,estimate_total_10 to 14 minutes
b08303_005,estimate_total_15 to 19 minutes
b08303_006,estimate_total_20 to 24 minutes
b08303_007,estimate_total_25 to 29 minutes
b08303_008,estimate_total_30 to 34 minutes
b08303_009,estimate_total_35 to 39 minutes
b08303_010,estimate_total_40 to 44 minutes
b08303_011,estimate_total_45 to 59 minutes
b08303_012,estimate_total_60 to 89 minutes
b08303_013,estimate_total_90 or more minutes
b09005_001,estimate_total
b09005_002,estimate_total_in family households
b09005_003,estimate_total_in family households_in married-couple family
b09005_004,"estimate_total_in family households_in male householder, no wife present, family"
b09005_005,"estimate_total_in family households_in female householder, no husband present, family"
b09005_006,estimate_total_in nonfamily households
b11001a_001,estimate_total
b11001a_002,estimate_total_family households
b11001a_003,estimate_total_family households_married-couple family
b11001a_004,estimate_total_family households_other family
b11001a_005,"estimate_total_family households_other family_male householder, no wife present"
b11001a_006,"estimate_total_family households_other family_female householder, no husband present"
b11001a_007,estimate_total_nonfamily households
b11001a_008,estimate_total_nonfamily households_householder living alone
b11001a_009,estimate_total_nonfamily households_householder not living alone
b11001b_001,estimate_total
b11001b_002,estimate_total_family households
b11001b_003,estimate_total_family households_married-couple family
b11001b_004,estimate_total_family households_other family
b11001b_005,"estimate_total_family households_other family_male householder, no wife present"
b11001b_006,"estimate_total_family households_other family_female householder, no husband present"
b11001b_007,estimate_total_nonfamily households
b11001b_008,estimate_total_nonfamily households_householder living alone
b11001b_009,estimate_total_nonfamily households_householder not living alone
b11001c_001,estimate_total
b11001c_002,estimate_total_family households
b11001c_003,estimate_total_family households_married-couple family
b11001c_004,estimate_total_family households_other family
b11001c_005,"estimate_total_family households_other family_male householder, no wife present"
b11001c_006,"estimate_total_family households_other family_female householder, no husband present"
b11001c_007,estimate_total_nonfamily households
b11001c_008,estimate_total_nonfamily households_householder living alone
b11001c_009,estimate_total_nonfamily households_householder not living alone
b11001d_001,estimate_total
b11001d_002,estimate_total_family households
b11001d_003,estimate_total_family households_married-couple family
b11001d_004,estimate_total_family households_other family
b11001d_005,"estimate_total_family households_other family_male householder, no wife present"
b11001d_006,"estimate_total_family households_other family_female householder, no husband present"
b11001d_007,estimate_total_nonfamily households
b11001d_008,estimate_total_nonfamily households_householder living alone
b11001d_009,estimate_total_nonfamily households_householder not living alone
b11001e_001,estimate_total
b11001e_002,estimate_total_family households
b11001e_003,estimate_total_family households_married-couple family
b11001e_004,estimate_total_family households_other family
b11001e_005,"estimate_total_family households_other family_male householder, no wife present"
b11001e_006,"estimate_total_family households_other family_female householder, no husband present"
b11001e_007,estimate_total_nonfamily households
b11001e_008,estimate_total_nonfamily households_householder living alone
b11001e_009,estimate_total_nonfamily households_householder not living alone
b11001f_001,estimate_total
b11001f_002,estimate_total_family households
b11001f_003,estimate_total_family households_married-couple family
b11001f_004,estimate_total_family households_other family
b11001f_005,"estimate_total_family households_other family_male householder, no wife present"
b11001f_006,"estimate_total_family households_other family_female householder, no husband present"
b11001f_007,estimate_total_nonfamily households
b11001f_008,estimate_total_nonfamily households_householder living alone
b11001f_009,estimate_total_nonfamily households_householder not living alone
b11001g_001,estimate_total
b11001g_002,estimate_total_family households
b11001g_003,estimate_total_family households_married-couple family
b11001g_004,estimate_total_family households_other family
b11001g_005,"estimate_total_family households_other family_male householder, no wife present"
b11001g_006,"estimate_total_family households_other family_female householder, no husband present"
b11001g_007,estimate_total_nonfamily households
b11001g_008,estimate_total_nonfamily households_householder living alone
b11001g_009,estimate_total_nonfamily households_householder not living alone
b11001h_001,estimate_total
b11001h_002,estimate_total_family households
b11001h_003,estimate_total_family households_married-couple family
b11001h_004,estimate_total_family households_other family
b11001h_005,"estimate_total_family households_other family_male householder, no wife present"
b11001h_006,"estimate_total_family households_other family_female householder, no husband present"
b11001h_007,estimate_total_nonfamily households
b11001h_008,estimate_total_nonfamily households_householder living alone
b11001h_009,estimate_total_nonfamily households_householder not living alone
b11001i_001,estimate_total
b11001i_002,estimate_total_family households
b11001i_003,estimate_total_family households_married-couple family
b11001i_004,estimate_total_family households_other family
b11001i_005,"estimate_total_family households_other family_male householder, no wife present"
b11001i_006,"estimate_total_family households_other family_female householder, no husband present"
b11001i_007,estimate_total_nonfamily households
b11001i_008,estimate_total_nonfamily households_householder living alone
b11001i_009,estimate_total_nonfamily households_householder not living alone
b11001_001,estimate_total
b11001_002,estimate_total_family households
b11001_003,estimate_total_family households_married-couple family
b11001_004,estimate_total_family households_other family
b11001_005,"estimate_total_family households_other family_male householder, no wife present"
b11001_006,"estimate_total_family households_other family_female householder, no husband present"
b11001_007,estimate_total_nonfamily households
b11001_008,estimate_total_nonfamily households_householder living alone
b11001_009,estimate_total_nonfamily households_householder not living alone
b15003_001,estimate_total
b15003_002,estimate_total_no schooling completed
b15003_003,estimate_total_nursery school
b15003_004,estimate_total_kindergarten
b15003_005,estimate_total_1st grade
b15003_006,estimate_total_2nd grade
b15003_007,estimate_total_3rd grade
b15003_008,estimate_total_4th grade
b15003_009,estimate_total_5th grade
b15003_010,estimate_total_6th grade
b15003_011,estimate_total_7th grade
b15003_012,estimate_total_8th grade
b15003_013,estimate_total_9th grade
b15003_014,estimate_total_10th grade
b15003_015,estimate_total_11th grade
b15003_016,"estimate_total_12th grade, no diploma"
b15003_017,estimate_total_regular high school diploma
b15003_018,estimate_total_ged or alternative credential
b15003_019,"estimate_total_some college, less than 1 year"
b15003_020,"estimate_total_some college, 1 or more years, no degree"
b15003_021,estimate_total_associate's degree
b15003_022,estimate_total_bachelor's degree
b15003_023,estimate_total_master's degree
b15003_024,estimate_total_professional school degree
b15003_025,estimate_total_doctorate degree
b16005a_001,estimate_total
b16005a_002,estimate_total_native
b16005a_003,estimate_total_native_speak only english
b16005a_004,estimate_total_native_speak another language
b16005a_005,"estimate_total_native_speak another language_speak english ""very well"""
b16005a_006,"estimate_total_native_speak another language_speak english less than ""very well"""
b16005a_007,estimate_total_foreign born
b16005a_008,estimate_total_foreign born_speak only english
b16005a_009,estimate_total_foreign born_speak another language
b16005a_010,"estimate_total_foreign born_speak another language_speak english ""very well"""
b16005a_011,"estimate_total_foreign born_speak another language_speak english less than ""very well"""
b16005b_001,estimate_total
b16005b_002,estimate_total_native
b16005b_003,estimate_total_native_speak only english
b16005b_004,estimate_total_native_speak another language
b16005b_005,"estimate_total_native_speak another language_speak english ""very well"""
b16005b_006,"estimate_total_native_speak another language_speak english less than ""very well"""
b16005b_007,estimate_total_foreign born
b16005b_008,estimate_total_foreign born_speak only english
b16005b_009,estimate_total_foreign born_speak another language
b16005b_010,"estimate_total_foreign born_speak another language_speak english ""very well"""
b16005b_011,"estimate_total_foreign born_speak another language_speak english less than ""very well"""
b16005c_001,estimate_total
b16005c_002,estimate_total_native
b16005c_003,estimate_total_native_speak only english
b16005c_004,estimate_total_native_speak another language
b16005c_005,"estimate_total_native_speak another language_speak english ""very well"""
b16005c_006,"estimate_total_native_speak another language_speak english less than ""very well"""
b16005c_007,estimate_total_foreign born
b16005c_008,estimate_total_foreign born_speak only english
b16005c_009,estimate_total_foreign born_speak another language
b16005c_010,"estimate_total_foreign born_speak another language_speak english ""very well"""
b16005c_011,"estimate_total_foreign born_speak another language_speak english less than ""very well"""
b16005d_001,estimate_total
b16005d_002,estimate_total_native
b16005d_003,estimate_total_native_speak only english
b16005d_004,estimate_total_native_speak another language
b16005d_005,"estimate_total_native_speak another language_speak english ""very well"""
b16005d_006,"estimate_total_native_speak another language_speak english less than ""very well"""
b16005d_007,estimate_total_foreign born
b16005d_008,estimate_total_foreign born_speak only english
b16005d_009,estimate_total_foreign born_speak another language
b16005d_010,"estimate_total_foreign born_speak another language_speak english ""very well"""
b16005d_011,"estimate_total_foreign born_speak another language_speak english less than ""very well"""
b16005e_001,estimate_total
b16005e_002,estimate_total_native
b16005e_003,estimate_total_native_speak only english
b16005e_004,estimate_total_native_speak another language
b16005e_005,"estimate_total_native_speak another language_speak english ""very well"""
b16005e_006,"estimate_total_native_speak another language_speak english less than ""very well"""
b16005e_007,estimate_total_foreign born
b16005e_008,estimate_total_foreign born_speak only english
b16005e_009,estimate_total_foreign born_speak another language
b16005e_010,"estimate_total_foreign born_speak another language_speak english ""very well"""
b16005e_011,"estimate_total_foreign born_speak another language_speak english less than ""very well"""
b16005f_001,estimate_total
b16005f_002,estimate_total_native
b16005f_003,estimate_total_native_speak only english
b16005f_004,estimate_total_native_speak another language
b16005f_005,"estimate_total_native_speak another language_speak english ""very well"""
b16005f_006,"estimate_total_native_speak another language_speak english less than ""very well"""
b16005f_007,estimate_total_foreign born
b16005f_008,estimate_total_foreign born_speak only english
b16005f_009,estimate_total_foreign born_speak another language
b16005f_010,"estimate_total_foreign born_speak another language_speak english ""very well"""
b16005f_011,"estimate_total_foreign born_speak another language_speak english less than ""very well"""
b16005g_001,estimate_total
b16005g_002,estimate_total_native
b16005g_003,estimate_total_native_speak only english
b16005g_004,estimate_total_native_speak another language
b16005g_005,"estimate_total_native_speak another language_speak english ""very well"""
b16005g_006,"estimate_total_native_speak another language_speak english less than ""very well"""
b16005g_007,estimate_total_foreign born
b16005g_008,estimate_total_foreign born_speak only english
b16005g_009,estimate_total_foreign born_speak another language
b16005g_010,"estimate_total_foreign born_speak another language_speak english ""very well"""
b16005g_011,"estimate_total_foreign born_speak another language_speak english less than ""very well"""
b16005h_001,estimate_total
b16005h_002,estimate_total_native
b16005h_003,estimate_total_native_speak only english
b16005h_004,estimate_total_native_speak another language
b16005h_005,"estimate_total_native_speak another language_speak english ""very well"""
b16005h_006,"estimate_total_native_speak another language_speak english less than ""very well"""
b16005h_007,estimate_total_foreign born
b16005h_008,estimate_total_foreign born_speak only english
b16005h_009,estimate_total_foreign born_speak another language
b16005h_010,"estimate_total_foreign born_speak another language_speak english ""very well"""
b16005h_011,"estimate_total_foreign born_speak another language_speak english less than ""very well"""
b16005i_001,estimate_total
b16005i_002,estimate_total_native
b16005i_003,estimate_total_native_speak only english
b16005i_004,estimate_total_native_speak another language
b16005i_005,"estimate_total_native_speak another language_speak english ""very well"""
b16005i_006,"estimate_total_native_speak another language_speak english less than ""very well"""
b16005i_007,estimate_total_foreign born
b16005i_008,estimate_total_foreign born_speak only english
b16005i_009,estimate_total_foreign born_speak another language
b16005i_010,"estimate_total_foreign born_speak another language_speak english ""very well"""
b16005i_011,"estimate_total_foreign born_speak another language_speak english less than ""very well"""
b16005_001,estimate_total
b16005_002,estimate_total_native
b16005_003,estimate_total_native_speak only english
b16005_004,estimate_total_native_speak spanish
b16005_005,"estimate_total_native_speak spanish_speak english ""very well"""
b16005_006,"estimate_total_native_speak spanish_speak english ""well"""
b16005_007,"estimate_total_native_speak spanish_speak english ""not well"""
b16005_008,"estimate_total_native_speak spanish_speak english ""not at all"""
b16005_009,estimate_total_native_speak other indo-european languages
b16005_010,"estimate_total_native_speak other indo-european languages_speak english ""very well"""
b16005_011,"estimate_total_native_speak other indo-european languages_speak english ""well"""
b16005_012,"estimate_total_native_speak other indo-european languages_speak english ""not well"""
b16005_013,"estimate_total_native_speak other indo-european languages_speak english ""not at all"""
b16005_014,estimate_total_native_speak asian and pacific island languages
b16005_015,"estimate_total_native_speak asian and pacific island languages_speak english ""very well"""
b16005_016,"estimate_total_native_speak asian and pacific island languages_speak english ""well"""
b16005_017,"estimate_total_native_speak asian and pacific island languages_speak english ""not well"""
b16005_018,"estimate_total_native_speak asian and pacific island languages_speak english ""not at all"""
b16005_019,estimate_total_native_speak other languages
b16005_020,"estimate_total_native_speak other languages_speak english ""very well"""
b16005_021,"estimate_total_native_speak other languages_speak english ""well"""
b16005_022,"estimate_total_native_speak other languages_speak english ""not well"""
b16005_023,"estimate_total_native_speak other languages_speak english ""not at all"""
b16005_024,estimate_total_foreign born
b16005_025,estimate_total_foreign born_speak only english
b16005_026,estimate_total_foreign born_speak spanish
b16005_027,"estimate_total_foreign born_speak spanish_speak english ""very well"""
b16005_028,"estimate_total_foreign born_speak spanish_speak english ""well"""
b16005_029,"estimate_total_foreign born_speak spanish_speak english ""not well"""
b16005_030,"estimate_total_foreign born_speak spanish_speak english ""not at all"""
b16005_031,estimate_total_foreign born_speak other indo-european languages
b16005_032,"estimate_total_foreign born_speak other indo-european languages_speak english ""very well"""
b16005_033,"estimate_total_foreign born_speak other indo-european languages_speak english ""well"""
b16005_034,"estimate_total_foreign born_speak other indo-european languages_speak english ""not well"""
b16005_035,"estimate_total_foreign born_speak other indo-european languages_speak english ""not at all"""
b16005_036,estimate_total_foreign born_speak asian and pacific island languages
b16005_037,"estimate_total_foreign born_speak asian and pacific island languages_speak english ""very well"""
b16005_038,"estimate_total_foreign born_speak asian and pacific island languages_speak english ""well"""
b16005_039,"estimate_total_foreign born_speak asian and pacific island languages_speak english ""not well"""
b16005_040,"estimate_total_foreign born_speak asian and pacific island languages_speak english ""not at all"""
b16005_041,estimate_total_foreign born_speak other languages
b16005_042,"estimate_total_foreign born_speak other languages_speak english ""very well"""
b16005_043,"estimate_total_foreign born_speak other languages_speak english ""well"""
b16005_044,"estimate_total_foreign born_speak other languages_speak english ""not well"""
b16005_045,"estimate_total_foreign born_speak other languages_speak english ""not at all"""
b17001a_001,estimate_total
b17001a_002,estimate_total_income in the past 12 months below poverty level
b17001a_003,estimate_total_income in the past 12 months below poverty level_male
b17001a_004,estimate_total_income in the past 12 months below poverty level_male_under 5 years
b17001a_005,estimate_total_income in the past 12 months below poverty level_male_5 years
b17001a_006,estimate_total_income in the past 12 months below poverty level_male_6 to 11 years
b17001a_007,estimate_total_income in the past 12 months below poverty level_male_12 to 14 years
b17001a_008,estimate_total_income in the past 12 months below poverty level_male_15 years
b17001a_009,estimate_total_income in the past 12 months below poverty level_male_16 and 17 years
b17001a_010,estimate_total_income in the past 12 months below poverty level_male_18 to 24 years
b17001a_011,estimate_total_income in the past 12 months below poverty level_male_25 to 34 years
b17001a_012,estimate_total_income in the past 12 months below poverty level_male_35 to 44 years
b17001a_013,estimate_total_income in the past 12 months below poverty level_male_45 to 54 years
b17001a_014,estimate_total_income in the past 12 months below poverty level_male_55 to 64 years
b17001a_015,estimate_total_income in the past 12 months below poverty level_male_65 to 74 years
b17001a_016,estimate_total_income in the past 12 months below poverty level_male_75 years and over
b17001a_017,estimate_total_income in the past 12 months below poverty level_female
b17001a_018,estimate_total_income in the past 12 months below poverty level_female_under 5 years
b17001a_019,estimate_total_income in the past 12 months below poverty level_female_5 years
b17001a_020,estimate_total_income in the past 12 months below poverty level_female_6 to 11 years
b17001a_021,estimate_total_income in the past 12 months below poverty level_female_12 to 14 years
b17001a_022,estimate_total_income in the past 12 months below poverty level_female_15 years
b17001a_023,estimate_total_income in the past 12 months below poverty level_female_16 and 17 years
b17001a_024,estimate_total_income in the past 12 months below poverty level_female_18 to 24 years
b17001a_025,estimate_total_income in the past 12 months below poverty level_female_25 to 34 years
b17001a_026,estimate_total_income in the past 12 months below poverty level_female_35 to 44 years
b17001a_027,estimate_total_income in the past 12 months below poverty level_female_45 to 54 years
b17001a_028,estimate_total_income in the past 12 months below poverty level_female_55 to 64 years
b17001a_029,estimate_total_income in the past 12 months below poverty level_female_65 to 74 years
b17001a_030,estimate_total_income in the past 12 months below poverty level_female_75 years and over
b17001a_031,estimate_total_income in the past 12 months at or above poverty level
b17001a_032,estimate_total_income in the past 12 months at or above poverty level_male
b17001a_033,estimate_total_income in the past 12 months at or above poverty level_male_under 5 years
b17001a_034,estimate_total_income in the past 12 months at or above poverty level_male_5 years
b17001a_035,estimate_total_income in the past 12 months at or above poverty level_male_6 to 11 years
b17001a_036,estimate_total_income in the past 12 months at or above poverty level_male_12 to 14 years
b17001a_037,estimate_total_income in the past 12 months at or above poverty level_male_15 years
b17001a_038,estimate_total_income in the past 12 months at or above poverty level_male_16 and 17 years
b17001a_039,estimate_total_income in the past 12 months at or above poverty level_male_18 to 24 years
b17001a_040,estimate_total_income in the past 12 months at or above poverty level_male_25 to 34 years
b17001a_041,estimate_total_income in the past 12 months at or above poverty level_male_35 to 44 years
b17001a_042,estimate_total_income in the past 12 months at or above poverty level_male_45 to 54 years
b17001a_043,estimate_total_income in the past 12 months at or above poverty level_male_55 to 64 years
b17001a_044,estimate_total_income in the past 12 months at or above poverty level_male_65 to 74 years
b17001a_045,estimate_total_income in the past 12 months at or above poverty level_male_75 years and over
b17001a_046,estimate_total_income in the past 12 months at or above poverty level_female
b17001a_047,estimate_total_income in the past 12 months at or above poverty level_female_under 5 years
b17001a_048,estimate_total_income in the past 12 months at or above poverty level_female_5 years
b17001a_049,estimate_total_income in the past 12 months at or above poverty level_female_6 to 11 years
b17001a_050,estimate_total_income in the past 12 months at or above poverty level_female_12 to 14 years
b17001a_051,estimate_total_income in the past 12 months at or above poverty level_female_15 years
b17001a_052,estimate_total_income in the past 12 months at or above poverty level_female_16 and 17 years
b17001a_053,estimate_total_income in the past 12 months at or above poverty level_female_18 to 24 years
b17001a_054,estimate_total_income in the past 12 months at or above poverty level_female_25 to 34 years
b17001a_055,estimate_total_income in the past 12 months at or above poverty level_female_35 to 44 years
b17001a_056,estimate_total_income in the past 12 months at or above poverty level_female_45 to 54 years
b17001a_057,estimate_total_income in the past 12 months at or above poverty level_female_55 to 64 years
b17001a_058,estimate_total_income in the past 12 months at or above poverty level_female_65 to 74 years
b17001a_059,estimate_total_income in the past 12 months at or above poverty level_female_75 years and over
b17001b_001,estimate_total
b17001b_002,estimate_total_income in the past 12 months below poverty level
b17001b_003,estimate_total_income in the past 12 months below poverty level_male
b17001b_004,estimate_total_income in the past 12 months below poverty level_male_under 5 years
b17001b_005,estimate_total_income in the past 12 months below poverty level_male_5 years
b17001b_006,estimate_total_income in the past 12 months below poverty level_male_6 to 11 years
b17001b_007,estimate_total_income in the past 12 months below poverty level_male_12 to 14 years
b17001b_008,estimate_total_income in the past 12 months below poverty level_male_15 years
b17001b_009,estimate_total_income in the past 12 months below poverty level_male_16 and 17 years
b17001b_010,estimate_total_income in the past 12 months below poverty level_male_18 to 24 years
b17001b_011,estimate_total_income in the past 12 months below poverty level_male_25 to 34 years
b17001b_012,estimate_total_income in the past 12 months below poverty level_male_35 to 44 years
b17001b_013,estimate_total_income in the past 12 months below poverty level_male_45 to 54 years
b17001b_014,estimate_total_income in the past 12 months below poverty level_male_55 to 64 years
b17001b_015,estimate_total_income in the past 12 months below poverty level_male_65 to 74 years
b17001b_016,estimate_total_income in the past 12 months below poverty level_male_75 years and over
b17001b_017,estimate_total_income in the past 12 months below poverty level_female
b17001b_018,estimate_total_income in the past 12 months below poverty level_female_under 5 years
b17001b_019,estimate_total_income in the past 12 months below poverty level_female_5 years
b17001b_020,estimate_total_income in the past 12 months below poverty level_female_6 to 11 years
b17001b_021,estimate_total_income in the past 12 months below poverty level_female_12 to 14 years
b17001b_022,estimate_total_income in the past 12 months below poverty level_female_15 years
b17001b_023,estimate_total_income in the past 12 months below poverty level_female_16 and 17 years
b17001b_024,estimate_total_income in the past 12 months below poverty level_female_18 to 24 years
b17001b_025,estimate_total_income in the past 12 months below poverty level_female_25 to 34 years
b17001b_026,estimate_total_income in the past 12 months below poverty level_female_35 to 44 years
b17001b_027,estimate_total_income in the past 12 months below poverty level_female_45 to 54 years
b17001b_028,estimate_total_income in the past 12 months below poverty level_female_55 to 64 years
b17001b_029,estimate_total_income in the past 12 months below poverty level_female_65 to 74 years
b17001b_030,estimate_total_income in the past 12 months below poverty level_female_75 years and over
b17001b_031,estimate_total_income in the past 12 months at or above poverty level
b17001b_032,estimate_total_income in the past 12 months at or above poverty level_male
b17001b_033,estimate_total_income in the past 12 months at or above poverty level_male_under 5 years
b17001b_034,estimate_total_income in the past 12 months at or above poverty level_male_5 years
b17001b_035,estimate_total_income in the past 12 months at or above poverty level_male_6 to 11 years
b17001b_036,estimate_total_income in the past 12 months at or above poverty level_male_12 to 14 years
b17001b_037,estimate_total_income in the past 12 months at or above poverty level_male_15 years
b17001b_038,estimate_total_income in the past 12 months at or above poverty level_male_16 and 17 years
b17001b_039,estimate_total_income in the past 12 months at or above poverty level_male_18 to 24 years
b17001b_040,estimate_total_income in the past 12 months at or above poverty level_male_25 to 34 years
b17001b_041,estimate_total_income in the past 12 months at or above poverty level_male_35 to 44 years
b17001b_042,estimate_total_income in the past 12 months at or above poverty level_male_45 to 54 years
b17001b_043,estimate_total_income in the past 12 months at or above poverty level_male_55 to 64 years
b17001b_044,estimate_total_income in the past 12 months at or above poverty level_male_65 to 74 years
b17001b_045,estimate_total_income in the past 12 months at or above poverty level_male_75 years and over
b17001b_046,estimate_total_income in the past 12 months at or above poverty level_female
b17001b_047,estimate_total_income in the past 12 months at or above poverty level_female_under 5 years
b17001b_048,estimate_total_income in the past 12 months at or above poverty level_female_5 years
b17001b_049,estimate_total_income in the past 12 months at or above poverty level_female_6 to 11 years
b17001b_050,estimate_total_income in the past 12 months at or above poverty level_female_12 to 14 years
b17001b_051,estimate_total_income in the past 12 months at or above poverty level_female_15 years
b17001b_052,estimate_total_income in the past 12 months at or above poverty level_female_16 and 17 years
b17001b_053,estimate_total_income in the past 12 months at or above poverty level_female_18 to 24 years
b17001b_054,estimate_total_income in the past 12 months at or above poverty level_female_25 to 34 years
b17001b_055,estimate_total_income in the past 12 months at or above poverty level_female_35 to 44 years
b17001b_056,estimate_total_income in the past 12 months at or above poverty level_female_45 to 54 years
b17001b_057,estimate_total_income in the past 12 months at or above poverty level_female_55 to 64 years
b17001b_058,estimate_total_income in the past 12 months at or above poverty level_female_65 to 74 years
b17001b_059,estimate_total_income in the past 12 months at or above poverty level_female_75 years and over
b17001c_001,estimate_total
b17001c_002,estimate_total_income in the past 12 months below poverty level
b17001c_003,estimate_total_income in the past 12 months below poverty level_male
b17001c_004,estimate_total_income in the past 12 months below poverty level_male_under 5 years
b17001c_005,estimate_total_income in the past 12 months below poverty level_male_5 years
b17001c_006,estimate_total_income in the past 12 months below poverty level_male_6 to 11 years
b17001c_007,estimate_total_income in the past 12 months below poverty level_male_12 to 14 years
b17001c_008,estimate_total_income in the past 12 months below poverty level_male_15 years
b17001c_009,estimate_total_income in the past 12 months below poverty level_male_16 and 17 years
b17001c_010,estimate_total_income in the past 12 months below poverty level_male_18 to 24 years
b17001c_011,estimate_total_income in the past 12 months below poverty level_male_25 to 34 years
b17001c_012,estimate_total_income in the past 12 months below poverty level_male_35 to 44 years
b17001c_013,estimate_total_income in the past 12 months below poverty level_male_45 to 54 years
b17001c_014,estimate_total_income in the past 12 months below poverty level_male_55 to 64 years
b17001c_015,estimate_total_income in the past 12 months below poverty level_male_65 to 74 years
b17001c_016,estimate_total_income in the past 12 months below poverty level_male_75 years and over
b17001c_017,estimate_total_income in the past 12 months below poverty level_female
b17001c_018,estimate_total_income in the past 12 months below poverty level_female_under 5 years
b17001c_019,estimate_total_income in the past 12 months below poverty level_female_5 years
b17001c_020,estimate_total_income in the past 12 months below poverty level_female_6 to 11 years
b17001c_021,estimate_total_income in the past 12 months below poverty level_female_12 to 14 years
b17001c_022,estimate_total_income in the past 12 months below poverty level_female_15 years
b17001c_023,estimate_total_income in the past 12 months below poverty level_female_16 and 17 years
b17001c_024,estimate_total_income in the past 12 months below poverty level_female_18 to 24 years
b17001c_025,estimate_total_income in the past 12 months below poverty level_female_25 to 34 years
b17001c_026,estimate_total_income in the past 12 months below poverty level_female_35 to 44 years
b17001c_027,estimate_total_income in the past 12 months below poverty level_female_45 to 54 years
b17001c_028,estimate_total_income in the past 12 months below poverty level_female_55 to 64 years
b17001c_029,estimate_total_income in the past 12 months below poverty level_female_65 to 74 years
b17001c_030,estimate_total_income in the past 12 months below poverty level_female_75 years and over
b17001c_031,estimate_total_income in the past 12 months at or above poverty level
b17001c_032,estimate_total_income in the past 12 months at or above poverty level_male
b17001c_033,estimate_total_income in the past 12 months at or above poverty level_male_under 5 years
b17001c_034,estimate_total_income in the past 12 months at or above poverty level_male_5 years
b17001c_035,estimate_total_income in the past 12 months at or above poverty level_male_6 to 11 years
b17001c_036,estimate_total_income in the past 12 months at or above poverty level_male_12 to 14 years
b17001c_037,estimate_total_income in the past 12 months at or above poverty level_male_15 years
b17001c_038,estimate_total_income in the past 12 months at or above poverty level_male_16 and 17 years
b17001c_039,estimate_total_income in the past 12 months at or above poverty level_male_18 to 24 years
b17001c_040,estimate_total_income in the past 12 months at or above poverty level_male_25 to 34 years
b17001c_041,estimate_total_income in the past 12 months at or above poverty level_male_35 to 44 years
b17001c_042,estimate_total_income in the past 12 months at or above poverty level_male_45 to 54 years
b17001c_043,estimate_total_income in the past 12 months at or above poverty level_male_55 to 64 years
b17001c_044,estimate_total_income in the past 12 months at or above poverty level_male_65 to 74 years
b17001c_045,estimate_total_income in the past 12 months at or above poverty level_male_75 years and over
b17001c_046,estimate_total_income in the past 12 months at or above poverty level_female
b17001c_047,estimate_total_income in the past 12 months at or above poverty level_female_under 5 years
b17001c_048,estimate_total_income in the past 12 months at or above poverty level_female_5 years
b17001c_049,estimate_total_income in the past 12 months at or above poverty level_female_6 to 11 years
b17001c_050,estimate_total_income in the past 12 months at or above poverty level_female_12 to 14 years
b17001c_051,estimate_total_income in the past 12 months at or above poverty level_female_15 years
b17001c_052,estimate_total_income in the past 12 months at or above poverty level_female_16 and 17 years
b17001c_053,estimate_total_income in the past 12 months at or above poverty level_female_18 to 24 years
b17001c_054,estimate_total_income in the past 12 months at or above poverty level_female_25 to 34 years
b17001c_055,estimate_total_income in the past 12 months at or above poverty level_female_35 to 44 years
b17001c_056,estimate_total_income in the past 12 months at or above poverty level_female_45 to 54 years
b17001c_057,estimate_total_income in the past 12 months at or above poverty level_female_55 to 64 years
b17001c_058,estimate_total_income in the past 12 months at or above poverty level_female_65 to 74 years
b17001c_059,estimate_total_income in the past 12 months at or above poverty level_female_75 years and over
b17001d_001,estimate_total
b17001d_002,estimate_total_income in the past 12 months below poverty level
b17001d_003,estimate_total_income in the past 12 months below poverty level_male
b17001d_004,estimate_total_income in the past 12 months below poverty level_male_under 5 years
b17001d_005,estimate_total_income in the past 12 months below poverty level_male_5 years
b17001d_006,estimate_total_income in the past 12 months below poverty level_male_6 to 11 years
b17001d_007,estimate_total_income in the past 12 months below poverty level_male_12 to 14 years
b17001d_008,estimate_total_income in the past 12 months below poverty level_male_15 years
b17001d_009,estimate_total_income in the past 12 months below poverty level_male_16 and 17 years
b17001d_010,estimate_total_income in the past 12 months below poverty level_male_18 to 24 years
b17001d_011,estimate_total_income in the past 12 months below poverty level_male_25 to 34 years
b17001d_012,estimate_total_income in the past 12 months below poverty level_male_35 to 44 years
b17001d_013,estimate_total_income in the past 12 months below poverty level_male_45 to 54 years
b17001d_014,estimate_total_income in the past 12 months below poverty level_male_55 to 64 years
b17001d_015,estimate_total_income in the past 12 months below poverty level_male_65 to 74 years
b17001d_016,estimate_total_income in the past 12 months below poverty level_male_75 years and over
b17001d_017,estimate_total_income in the past 12 months below poverty level_female
b17001d_018,estimate_total_income in the past 12 months below poverty level_female_under 5 years
b17001d_019,estimate_total_income in the past 12 months below poverty level_female_5 years
b17001d_020,estimate_total_income in the past 12 months below poverty level_female_6 to 11 years
b17001d_021,estimate_total_income in the past 12 months below poverty level_female_12 to 14 years
b17001d_022,estimate_total_income in the past 12 months below poverty level_female_15 years
b17001d_023,estimate_total_income in the past 12 months below poverty level_female_16 and 17 years
b17001d_024,estimate_total_income in the past 12 months below poverty level_female_18 to 24 years
b17001d_025,estimate_total_income in the past 12 months below poverty level_female_25 to 34 years
b17001d_026,estimate_total_income in the past 12 months below poverty level_female_35 to 44 years
b17001d_027,estimate_total_income in the past 12 months below poverty level_female_45 to 54 years
b17001d_028,estimate_total_income in the past 12 months below poverty level_female_55 to 64 years
